Similarity,Beds,Baths,Sqft,Sqft Comparison,Location,Last Advertised Date,Advertised Rent,Rent Price Comparison
96%,2,1.0,950,▲ 35,about 1 mile away,10/28/2025,$2650,▲ $250
96%,2,1.0,950,▲ 35,about 1 mile away,10/22/2025,$2700,▲ $300
96%,2,1.0,975,▲ 60,about 2 mile away,11/13/2025,$2650,▲ $250
94%,2,1.0,950,▲ 35,about 2 mile away,12/16/2024,$2625,▲ $225
94%,2,1.0,950,▲ 35,about 1 mile away,12/16/2024,$2575,▲ $175
94%,2,1.0,950,▲ 35,about 2 mile away,12/16/2024,$2575,▲ $175
94%,2,1.0,950,▲ 35,about 1 mile away,10/23/2024,$2300,▼ $100
93%,2,1.0,950,▲ 35,about 1 mile away,01/07/2025,$2625,▲ $225
92%,2,1.0,900,▼ 15,about 2 mile away,09/16/2024,$2500,▲ $100
92%,2,1.0,950,▲ 35,about 1 mile away,09/27/2024,$2775,▲ $375
92%,2,1.0,900,▼ 15,about 2 mile away,09/06/2024,$2250,▼ $150
92%,2,1.0,950,▲ 35,about 1 mile away,01/27/2025,$2625,▲ $225
90%,2,1.0,950,▲ 35,about 2 mile away,02/25/2025,$2575,▲ $175
90%,2,1.0,950,▲ 35,about 2 mile away,03/06/2025,$2575,▲ $175
90%,2,1.0,950,▲ 35,about 1 mile away,08/23/2024,$2575,▲ $175
90%,2,1.0,1000,▲ 85,about 1 mile away,09/03/2025,$2550,▲ $150
90%,2,1.0,950,▲ 35,about 2 mile away,03/10/2025,$2575,▲ $175
89%,2,1.0,800,▼ 115,about 2 mile away,11/07/2024,$2450,▲ $50
95%,2,1.0,960,▲ 45,about 3 mile away,11/15/2025,$2700,▲ $300
95%,2,1.0,940,▲ 25,about 1 mile away,10/30/2025,$2625,▲ $225
94%,2,1.0,955,▲ 40,about 3 mile away,11/20/2025,$2550,▲ $150
94%,2,1.0,925,▲ 10,about 3 mile away,09/15/2024,$2475,▲ $75
93%,2,1.0,980,▲ 65,about 1 mile away,12/01/2024,$2800,▲ $400
93%,2,1.0,920,▲ 5,about 1 mile away,10/05/2025,$2350,▼ $50
93%,2,1.0,950,▲ 35,about 1 mile away,08/12/2024,$2525,▲ $125
92%,2,1.0,875,▼ 40,about 1 mile away,11/25/2024,$2400,▲ $0
92%,2,1.0,1025,▲ 110,about 1 mile away,10/18/2025,$2750,▲ $350
92%,2,1.0,935,▲ 20,about 1 mile away,09/22/2024,$2600,▲ $200
91%,2,1.0,890,▼ 25,about 1 mile away,01/15/2025,$2450,▲ $50
91%,2,1.0,970,▲ 55,about 1 mile away,11/08/2025,$2675,▲ $275
91%,2,1.0,945,▲ 30,about 1 mile away,10/12/2025,$2525,▲ $125
91%,2,1.0,910,▼ 5,about 1 mile away,12/20/2024,$2375,▼ $25
90%,2,1.0,860,▼ 55,about 1 mile away,08/30/2024,$2300,▼ $100
90%,2,1.0,990,▲ 75,about 1 mile away,02/14/2025,$2650,▲ $250
90%,2,1.0,930,▲ 15,about 1 mile away,11/02/2025,$2500,▲ $100
89%,2,1.0,850,▼ 65,about 1 mile away,09/08/2024,$2350,▼ $50
89%,2,1.0,1010,▲ 95,about 1 mile away,10/25/2025,$2725,▲ $325
89%,2,1.0,905,▼ 10,about 2 mile away,01/22/2025,$2475,▲ $75
89%,2,1.0,965,▲ 50,about 3 mile away,12/05/2024,$2600,▲ $200
88%,2,1.0,825,▼ 90,about 2 mile away,11/18/2024,$2275,▼ $125
88%,2,1.0,985,▲ 70,about 3 mile away,03/15/2025,$2700,▲ $300
88%,2,1.0,915,▲ 0,about 1 mile away,10/08/2025,$2425,▲ $25
88%,2,1.0,940,▲ 25,about 1 mile away,09/30/2024,$2550,▲ $150
87%,2,1.0,870,▼ 45,about 1 mile away,08/18/2024,$2325,▼ $75
87%,2,1.0,1005,▲ 90,about 1 mile away,11/28/2025,$2775,▲ $375
87%,2,1.0,895,▼ 20,about 2 mile away,02/08/2025,$2400,▲ $0
87%,2,1.0,955,▲ 40,about 3 mile away,10/15/2025,$2625,▲ $225
86%,2,1.0,840,▼ 75,about 2 mile away,12/10/2024,$2250,▼ $150
86%,2,1.0,975,▲ 60,about 1 mile away,01/30/2025,$2675,▲ $275
86%,2,1.0,920,▲ 5,about 2 mile away,09/12/2024,$2475,▲ $75
86%,2,1.0,950,▲ 35,about 3 mile away,11/05/2025,$2575,▲ $175
85%,2,1.0,810,▼ 105,about 2 mile away,08/25/2024,$2200,▼ $200
85%,2,1.0,995,▲ 80,about 1 mile away,10/20/2025,$2750,▲ $350
85%,2,1.0,885,▼ 30,about 1 mile away,03/01/2025,$2375,▼ $25
85%,2,1.0,960,▲ 45,about 1 mile away,12/22/2024,$2600,▲ $200
84%,2,1.0,855,▼ 60,about 1 mile away,11/12/2024,$2300,▼ $100
84%,2,1.0,1020,▲ 105,about 1 mile away,02/20/2025,$2800,▲ $400
84%,2,1.0,910,▼ 5,about 1 mile away,09/25/2024,$2450,▲ $50
84%,2,1.0,945,▲ 30,about 2 mile away,10/02/2025,$2550,▲ $150
83%,2,1.0,830,▼ 85,about 2 mile away,01/08/2025,$2225,▼ $175
83%,2,1.0,980,▲ 65,about 3 mile away,11/22/2025,$2700,▲ $300
83%,2,1.0,900,▼ 15,about 2 mile away,08/05/2024,$2400,▲ $0
83%,2,1.0,935,▲ 20,about 1 mile away,03/18/2025,$2525,▲ $125
82%,2,1.0,865,▼ 50,about 2 mile away,12/28/2024,$2350,▼ $50
82%,2,1.0,1015,▲ 100,about 1 mile away,10/28/2025,$2775,▲ $375
82%,2,1.0,925,▲ 10,about 1 mile away,09/18/2024,$2500,▲ $100
82%,2,1.0,955,▲ 40,about 1 mile away,02/02/2025,$2625,▲ $225
81%,2,1.0,820,▼ 95,about 1 mile away,11/30/2024,$2275,▼ $125
81%,2,1.0,990,▲ 75,about 2 mile away,01/12/2025,$2650,▲ $250
81%,2,1.0,880,▼ 35,about 2 mile away,10/10/2025,$2375,▼ $25
81%,2,1.0,940,▲ 25,about 1 mile away,08/15/2024,$2550,▲ $150
80%,2,1.0,845,▼ 70,about 1 mile away,03/25/2025,$2325,▼ $75
80%,2,1.0,970,▲ 55,about 1 mile away,12/02/2024,$2675,▲ $275
80%,2,1.0,905,▼ 10,about 1 mile away,09/05/2024,$2425,▲ $25
80%,2,1.0,950,▲ 35,about 1 mile away,11/10/2025,$2575,▲ $175
79%,2,1.0,805,▼ 110,about 1 mile away,01/25/2025,$2200,▼ $200
79%,2,1.0,1000,▲ 85,about 1 mile away,10/05/2025,$2725,▲ $325
79%,2,1.0,890,▼ 25,about 2 mile away,08/28/2024,$2400,▲ $0
79%,2,1.0,965,▲ 50,about 3 mile away,02/28/2025,$2600,▲ $200
78%,2,1.0,835,▼ 80,about 1 mile away,12/15/2024,$2275,▼ $125
78%,2,1.0,985,▲ 70,about 1 mile away,11/18/2025,$2750,▲ $350
78%,2,1.0,915,▲ 0,about 1 mile away,09/28/2024,$2475,▲ $75
78%,2,1.0,945,▲ 30,about 2 mile away,03/08/2025,$2550,▲ $150
77%,2,1.0,860,▼ 55,about 2 mile away,01/18/2025,$2350,▼ $50
77%,2,1.0,1010,▲ 95,about 3 mile away,10/22/2025,$2800,▲ $400
77%,2,1.0,895,▼ 20,about 2 mile away,08/10/2024,$2425,▲ $25
77%,2,1.0,960,▲ 45,about 3 mile away,12/08/2024,$2625,▲ $225
76%,2,1.0,815,▼ 100,about 2 mile away,02/12/2025,$2225,▼ $175
76%,2,1.0,975,▲ 60,about 3 mile away,11/25/2025,$2700,▲ $300
76%,2,1.0,910,▼ 5,about 2 mile away,09/20/2024,$2450,▲ $50
76%,2,1.0,940,▲ 25,about 3 mile away,03/22/2025,$2575,▲ $175
75%,2,1.0,850,▼ 65,about 1 mile away,01/02/2025,$2300,▼ $100
75%,2,1.0,995,▲ 80,about 1 mile away,10/15/2025,$2775,▲ $375
75%,2,1.0,885,▼ 30,about 1 mile away,08/22/2024,$2400,▲ $0
75%,2,1.0,955,▲ 40,about 1 mile away,12/18/2024,$2650,▲ $250
74%,2,1.0,825,▼ 90,about 1 mile away,02/18/2025,$2250,▼ $150
74%,2,1.0,1005,▲ 90,about 1 mile away,11/08/2025,$2725,▲ $325
74%,2,1.0,900,▼ 15,about 1 mile away,09/10/2024,$2475,▲ $75
74%,2,1.0,935,▲ 20,about 1 mile away,03/28/2025,$2600,▲ $200
